sequence,sequence_index,bvec,TR,readout,spin,x,y,z,longitudinal,transverse,phase,Sx,Sy
dwi.seq,1,0,1,1,127,485.45087530697805,194.8907209048248,8.644142720849336,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,128,-218.17023285159723,-336.1068131153639,-239.30285866681155,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,129,11.37014571336121,-252.56726452033033,-14.56009894597006,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,130,17.64587787464665,-501.2467578863732,46.88490291108579,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,131,233.6102538988652,106.61433180934816,-88.55296869061593,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,132,-290.21372859769934,-477.58603936241855,-341.5315817297237,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,133,-303.5166298286357,137.7447684261338,237.3451982048336,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,134,110.98771598567161,447.26432245978054,73.59564620177684,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,135,-125.81918742628854,111.86538295515187,354.0703416095704,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,136,-499.11847075291,265.9250024432046,-258.10185183715765,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,137,225.7723709905341,261.106647859345,285.8455389122013,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,138,-406.54211511983095,6.8472265672250305,175.53647064626344,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,139,321.86829450897756,87.194847307707,-415.74412129752386,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,140,-134.087254927744,124.64431466472206,-68.2765451363802,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,141,-52.948005114935945,339.7337025114844,196.60047616907178,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,142,475.2740818893215,170.19179032629881,-53.257177332677166,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,143,104.93408948686864,463.75132711174894,-255.7052479856985,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,144,169.51268245787463,0.4578954579291752,503.87672129198216,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,145,-384.980572109037,-298.324665319065,99.32114485387879,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,146,466.9852407423907,-160.9116633195508,372.3307681469335,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,147,-20.718039643204648,-88.01832654822871,-91.49513823846232,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,148,477.1672043613895,-514.0479084959974,257.0037869073172,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,149,-367.11387527073293,-424.9476660771789,103.84791391958832,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,150,462.63084143701315,-159.06904992020623,-360.6061055576969,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,151,-371.8024688306124,-299.3340449702772,-170.969383797622,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,152,499.7770895430691,61.92639622957592,-73.26788063135162,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,153,-319.8160535627978,-116.23452070438243,-49.557237384613515,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,154,296.6366578577323,73.90863541162554,195.99126236238612,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,155,162.21299671122387,-332.54596870460875,-337.057731125969,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,156,-21.12331781259312,-8.042554741354145,269.34037233908373,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,157,-359.5375103491195,-418.9740627007917,-275.48067821162533,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,158,-344.6033108313235,55.98091233846461,-336.7140265245727,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,159,-176.80153815184875,69.87433678667252,197.05207766934285,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,160,-130.3598621257474,-280.1611173230477,275.0130670630172,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,161,298.59832046783237,-340.1809310827886,-112.51676623174323,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,162,-226.9624923190415,-341.09306251401034,132.6841734069532,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,163,351.37924477187727,439.04197739173156,-191.23505166528935,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,164,479.1329972087711,81.38959295224073,-126.43196372770794,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,165,135.89473852701954,-161.6231247701661,-62.15340752355481,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,166,482.2100233599413,495.10143646167046,329.013214296819,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,167,5.946819395546435,-41.67615696825508,36.94617008885686,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,168,402.24958943946456,114.24086106065526,71.20114455719614,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,169,41.80702045336482,-165.7690748458371,266.05320780733973,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,170,294.9105906549822,-28.447336900230262,13.344341884878476,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,171,416.9400838193532,447.5609191206394,-359.69543891993743,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,172,28.17875645662145,393.7803487650379,274.0819783655857,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,173,-366.628963674226,60.3023167162271,-424.70391240644705,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,174,169.62404177043487,265.124266879269,53.3817083982422,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,175,391.41332589929436,267.9577212013252,261.86591059948074,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,176,-370.74730933920165,-331.3408718797342,456.15430605756444,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,177,-131.45373734063375,-80.27967400814474,-114.60243152657281,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,178,396.9144431065588,2.5413075467144304,251.97468143085808,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,179,-511.3875878356874,225.56734439983305,-148.31182771383584,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,180,39.79337939261027,369.2818554290256,-170.34103761574204,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,181,57.04437355307379,-171.26975977620037,-478.24340949092436,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,182,-281.629774176604,432.0710086630405,364.2325845173935,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,183,-118.21514588037772,2.7208207350072495,437.920229150852,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,184,-499.71802871287366,-263.78561344658794,95.66158707330423,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,185,292.54493873292023,269.56776930089643,168.84120435352162,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,186,-403.98964929525897,-389.4614311279962,-268.883909747667,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,187,-418.1814714198039,-276.8222143051696,420.79409210267494,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,188,370.7626694211179,462.5899878346215,-296.28136948979295,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,189,-467.56503005810873,230.70038142298577,30.26917680202423,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,190,177.84427450269482,-242.75216465328919,-502.4002543900489,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,191,-495.2685330914622,89.93558059500002,-85.47208538107331,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,192,-70.2668878205481,-179.69930335707855,-16.85789318636773,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,193,228.56002228329922,-481.6143434931683,231.48781719459208,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,194,-311.1274913965268,-266.7793830580748,-473.3392809020139,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,195,-193.09299177842053,441.8873187986808,303.0988387079606,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,196,-182.6044441770416,334.1828371779421,261.2060569177155,-4.440892098500626e-16,1.0,90.0,0.0,1.0
